"UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"SP","03/2021","40888","","7422234","","181,53",""
"SP","04/2021","41747","","3483898","","83,45",""
"SP","05/2021","41749","","3543719","","84,88",""
"SP","06/2021","41748","","3598918","","86,21",""
"SP","08/2021","41553","","3717080","","89,45",""
"SP","07/2021","41748","","3657475","","87,61",""
"SP","05/2020","40110","","536199","","13,37",""
"SP","06/2020","40110","","530763","","13,23",""
"SP","07/2020","40110","","555142","","13,84",""
"SP","10/2020","40062","","1264276","","31,56",""
"SP","11/2020","40062","","1345171","","33,58",""
"SP","01/2020","33748","","6167907,00","","182,76",""
"SP","02/2020","33722","","6137070","","181,99",""
"SP","03/2020","31955","","5883679","","184,12",""
"SP","04/2020","40137","","625719","","15,59",""
"SP","08/2020","40110","","525161","","13,09",""
"SP","04/2019","37226","","6618907,00","","177,80",""
"SP","11/2019","33772","","6133126","","181,60",""
"SP","07/2019","36083","","6525588","","180,85",""
"SP","09/2020","40062","","1170635","","29,22",""
"SP","12/2020","40062","","1427071","","35,62",""
"SP","02/2019","35695","","6382778,00","","178,81",""
"SP","08/2019","36041","","6491454","","180,11",""
"SP","01/2021","39851","","7277160","","182,61",""
"SP","02/2021","39572","","7145447","","180,57",""
"SP","09/2021","41553","","3804561","","91,56",""
"SP","10/2021","41553","","3885646","","93,51",""
"SP","10/2018","35339","","6328132","","179,07",""
"SP","11/2018","36811","","6585415","","178,90",""
"SP","12/2018","36484","","6439828","","176,51",""
"SP","03/2018","36857","","6225921","","168,92",""
"SP","12/2019","33820","","6162095","","182,20",""
"SP","06/2019","37266","","6639839","","178,17",""
"SP","09/2019","34942","","6317274","","180,79",""
"SP","01/2019","34928","","6254614","","179,07",""
"SP","03/2019","37015","","6699326","","180,99",""
"SP","05/2019","38182","","6810722","","178,38",""
"SP","10/2019","34918","","6321454","","181,04",""
"SP","08/2018","35337","","6317153","","178,77",""
"SP","01/2018","35752","","6123373","","171,27",""
"SP","02/2018","36190","","6199076","","171,29",""
"SP","05/2018","34773","","5921632","","170,29",""
"SP","06/2018","34647","","5915757","","170,74",""
"SP","07/2018","34373","","6224251","","181,08",""
"SP","09/2018","34439","","6166364","","179,05",""
"SP","04/2018","34411","","5814289","","168,97",""
